#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,DJI_AIR_2S,_field,_measurement
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:10.206Z,-1,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:11.892Z,0.700000025331974,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:13.578Z,2,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:15.264Z,1.050000011920929,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:16.95Z,-1.899999976158142,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:18.636Z,-4.300000190734863,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:20.322Z,0.05000000447034836,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:22.008Z,0.5,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:23.694Z,0.10000000149011612,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:25.38Z,0.10000002384185791,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:27.066Z,-1.7999999523162842,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:28.752Z,0.30000000447034836,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:30.438Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:32.124Z,0.10000000149011612,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:33.81Z,1.0999999940395355,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:35.496Z,-3.5999999046325684,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:37.182Z,0.699999988079071,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:38.868Z,-0.8999999761581421,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:40.554Z,1,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:42.24Z,0.10000000149011612,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:43.926Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:45.612Z,0.15000000596046448,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:47.298Z,-0.10000000149011612,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:48.984Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:50.67Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:52.356Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:54.042Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:55.728Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:57.414Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:59.1Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:00.786Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:02.472Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:04.158Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:05.844Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:07.53Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:52:09.216Z,0,Basic_metrics,VelocityY,Dji
,,3,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:31.428Z,0,Basic_metrics,VelocityZ,Dji
,,3,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:33.114Z,0,Basic_metrics,VelocityZ,Dji
,,3,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:34.8Z,0,Basic_metrics,VelocityZ,Dji
,,3,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:36.486Z,-0.5,Basic_metrics,VelocityZ,Dji
,,3,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:38.172Z,-0.2500000298023224,Basic_metrics,VelocityZ,Dji
,,3,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:39.858Z,0.30000001192092896,Basic_metrics,VelocityZ,Dji
,,3,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:41.544Z,0,Basic_metrics,VelocityZ,Dji
,,3,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:43.23Z,0,Basic_metrics,VelocityZ,Dji
,,3,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:44.916Z,0,Basic_metrics,VelocityZ,Dji
