#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,DJI_AIR_2S,_field,_measurement
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:01.986Z,-1.5,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:02.985Z,-4.400000095367432,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:04.317Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:05.649Z,5.400000095367432,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:06.981Z,6.300000190734863,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:08.313Z,0.4000000059604645,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:09.978Z,-2,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:11.31Z,-2.200000047683716,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:12.309Z,0.6000000238418579,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:13.641Z,-2.0999999046325684,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:15.972Z,0.699999988079071,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:17.304Z,0.10000000149011612,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:18.303Z,-0.5,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:19.635Z,-4.099999904632568,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:21.633Z,1.100000023841858,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:22.965Z,3.799999952316284,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:23.964Z,0.800000011920929,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:25.296Z,0.10000000149011612,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:26.628Z,0.30000001192092896,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:28.293Z,0.8999999761581421,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:29.625Z,-1.600000023841858,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:30.624Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:32.289Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:33.288Z,0.20000000298023224,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:34.62Z,2.0999999046325684,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:35.952Z,0.5,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:37.284Z,0.20000000298023224,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:38.616Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:39.615Z,-0.10000000149011612,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:40.947Z,0.20000000298023224,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:41.946Z,0.4000000059604645,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:43.278Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:44.943Z,-3.5,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:45.942Z,0.5,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:47.274Z,1.100000023841858,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:48.606Z,0.10000000149011612,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:49.938Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:51.27Z,-0.30000001192092896,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:52.602Z,0.5,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:53.934Z,-0.10000000149011612,Basic_metrics,VelocityX,Dji
